Numero,URL,Nome,Peso,Altura,Tipo 1,Tipo 2,Habilidade,Descricao Habilidade,URL Habilidade,Evolução 2 Número,Evolução 2 Nome,Evolução 2 Url,Evolução 3 Número,Evolução 3 Nome,Evolução 3 Url
0020,https://pokemondb.net/pokedex/raticate,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,/ability/run-away,Enables a sure getaway from wild Pokémon.,https://pokemondb.net/ability/run-away,#0020,Raticate,https://pokemondb.net/pokedex/raticate,,,
0021,https://pokemondb.net/pokedex/spearow,Spearow,2.0 kg (4.4 lbs),0.3 m (1′00″),Normal,Flying,/ability/keen-eye,Prevents other Pokémon from lowering accuracy.,https://pokemondb.net/ability/keen-eye,#0022,Fearow,https://pokemondb.net/pokedex/fearow,,,
0022,https://pokemondb.net/pokedex/fearow,Fearow,38.0 kg (83.8 lbs),1.2 m (3′11″),Normal,Flying,/ability/keen-eye,Prevents other Pokémon from lowering accuracy.,https://pokemondb.net/ability/keen-eye,#0022,Fearow,https://pokemondb.net/pokedex/fearow,,,
0023,https://pokemondb.net/pokedex/ekans,Ekans,6.9 kg (15.2 lbs),2.0 m (6′07″),Poison,,/ability/intimidate,Lowers the foe's Attack stat.,https://pokemondb.net/ability/intimidate,#0024,Arbok,https://pokemondb.net/pokedex/arbok,,,
0024,https://pokemondb.net/pokedex/arbok,Arbok,65.0 kg (143.3 lbs),3.5 m (11′06″),Poison,,/ability/intimidate,Lowers the foe's Attack stat.,https://pokemondb.net/ability/intimidate,#0024,Arbok,https://pokemondb.net/pokedex/arbok,,,
0025,https://pokemondb.net/pokedex/pikachu,Pikachu,6.0 kg (13.2 lbs),0.4 m (1′04″),Electric,,/ability/static,Contact with the Pokémon may cause paralysis.,https://pokemondb.net/ability/static,#0025,Pikachu,https://pokemondb.net/pokedex/pikachu,,,
0026,https://pokemondb.net/pokedex/raichu,Raichu,30.0 kg (66.1 lbs),0.8 m (2′07″),Electric,Psychic,/ability/static,Contact with the Pokémon may cause paralysis.,https://pokemondb.net/ability/static,#0025,Pikachu,https://pokemondb.net/pokedex/pikachu,,,
0027,https://pokemondb.net/pokedex/sandshrew,Sandshrew,12.0 kg (26.5 lbs),0.6 m (2′00″),Ground,Steel,/ability/sand-veil,Boosts the Pokémon's evasion in a sandstorm.,https://pokemondb.net/ability/sand-veil,#0028,Sandslash,https://pokemondb.net/pokedex/sandslash,,,
0028,https://pokemondb.net/pokedex/sandslash,Sandslash,29.5 kg (65.0 lbs),1.0 m (3′03″),Ground,Steel,/ability/sand-veil,Boosts the Pokémon's evasion in a sandstorm.,https://pokemondb.net/ability/sand-veil,#0028,Sandslash,https://pokemondb.net/pokedex/sandslash,,,
0029,https://pokemondb.net/pokedex/nidoran-f,Nidoran♀ (female),7.0 kg (15.4 lbs),0.4 m (1′04″),Poison,9,/ability/poison-point,Contact with the Pokémon may poison the attacker.,https://pokemondb.net/ability/poison-point,#0030,Nidorina,https://pokemondb.net/pokedex/nidorina,#0031,Nidoqueen,https://pokemondb.net/pokedex/nidoqueen
0030,https://pokemondb.net/pokedex/nidorina,Nidorina,20.0 kg (44.1 lbs),0.8 m (2′07″),Poison,Safari Zone,/ability/poison-point,Contact with the Pokémon may poison the attacker.,https://pokemondb.net/ability/poison-point,#0030,Nidorina,https://pokemondb.net/pokedex/nidorina,#0031,Nidoqueen,https://pokemondb.net/pokedex/nidoqueen
0031,https://pokemondb.net/pokedex/nidoqueen,Nidoqueen,60.0 kg (132.3 lbs),1.3 m (4′03″),Poison,Ground,/ability/poison-point,Contact with the Pokémon may poison the attacker.,https://pokemondb.net/ability/poison-point,#0030,Nidorina,https://pokemondb.net/pokedex/nidorina,#0031,Nidoqueen,https://pokemondb.net/pokedex/nidoqueen
0032,https://pokemondb.net/pokedex/nidoran-m,Nidoran♂ (male),9.0 kg (19.8 lbs),0.5 m (1′08″),Poison,9,/ability/poison-point,Contact with the Pokémon may poison the attacker.,https://pokemondb.net/ability/poison-point,#0033,Nidorino,https://pokemondb.net/pokedex/nidorino,#0034,Nidoking,https://pokemondb.net/pokedex/nidoking
0033,https://pokemondb.net/pokedex/nidorino,Nidorino,19.5 kg (43.0 lbs),0.9 m (2′11″),Poison,Safari Zone,/ability/poison-point,Contact with the Pokémon may poison the attacker.,https://pokemondb.net/ability/poison-point,#0033,Nidorino,https://pokemondb.net/pokedex/nidorino,#0034,Nidoking,https://pokemondb.net/pokedex/nidoking
0034,https://pokemondb.net/pokedex/nidoking,Nidoking,62.0 kg (136.7 lbs),1.4 m (4′07″),Poison,Ground,/ability/poison-point,Contact with the Pokémon may poison the attacker.,https://pokemondb.net/ability/poison-point,#0033,Nidorino,https://pokemondb.net/pokedex/nidorino,#0034,Nidoking,https://pokemondb.net/pokedex/nidoking
0035,https://pokemondb.net/pokedex/clefairy,Clefairy,7.5 kg (16.5 lbs),0.6 m (2′00″),Fairy,,/ability/cute-charm,Contact with the Pokémon may cause infatuation.,https://pokemondb.net/ability/cute-charm,#0035,Clefairy,https://pokemondb.net/pokedex/clefairy,#0036,Clefable,https://pokemondb.net/pokedex/clefable
0036,https://pokemondb.net/pokedex/clefable,Clefable,40.0 kg (88.2 lbs),1.3 m (4′03″),Fairy,,/ability/cute-charm,Contact with the Pokémon may cause infatuation.,https://pokemondb.net/ability/cute-charm,#0035,Clefairy,https://pokemondb.net/pokedex/clefairy,#0036,Clefable,https://pokemondb.net/pokedex/clefable
0037,https://pokemondb.net/pokedex/vulpix,Vulpix,9.9 kg (21.8 lbs),0.6 m (2′00″),Fire,8,/ability/flash-fire,It powers up Fire-type moves if it's hit by one.,https://pokemondb.net/ability/flash-fire,#0038,Ninetales,https://pokemondb.net/pokedex/ninetales,,,
0038,https://pokemondb.net/pokedex/ninetales,Ninetales,19.9 kg (43.9 lbs),1.1 m (3′07″),Fire,Fairy,/ability/flash-fire,It powers up Fire-type moves if it's hit by one.,https://pokemondb.net/ability/flash-fire,#0038,Ninetales,https://pokemondb.net/pokedex/ninetales,,,
0039,https://pokemondb.net/pokedex/jigglypuff,Jigglypuff,5.5 kg (12.1 lbs),0.5 m (1′08″),Normal,Fairy,/ability/cute-charm,Contact with the Pokémon may cause infatuation.,https://pokemondb.net/ability/cute-charm,#0039,Jigglypuff,https://pokemondb.net/pokedex/jigglypuff,#0040,Wigglytuff,https://pokemondb.net/pokedex/wigglytuff
0040,https://pokemondb.net/pokedex/wigglytuff,Wigglytuff,12.0 kg (26.5 lbs),1.0 m (3′03″),Normal,Fairy,/ability/cute-charm,Contact with the Pokémon may cause infatuation.,https://pokemondb.net/ability/cute-charm,#0039,Jigglypuff,https://pokemondb.net/pokedex/jigglypuff,#0040,Wigglytuff,https://pokemondb.net/pokedex/wigglytuff
0041,https://pokemondb.net/pokedex/zubat,Zubat,7.5 kg (16.5 lbs),0.8 m (2′07″),Poison,Flying,/ability/inner-focus,The Pokémon is protected from flinching.,https://pokemondb.net/ability/inner-focus,#0042,Golbat,https://pokemondb.net/pokedex/golbat,#0169,Crobat,https://pokemondb.net/pokedex/crobat
0042,https://pokemondb.net/pokedex/golbat,Golbat,55.0 kg (121.3 lbs),1.6 m (5′03″),Poison,Flying,/ability/inner-focus,The Pokémon is protected from flinching.,https://pokemondb.net/ability/inner-focus,#0042,Golbat,https://pokemondb.net/pokedex/golbat,#0169,Crobat,https://pokemondb.net/pokedex/crobat
0043,https://pokemondb.net/pokedex/oddish,Oddish,5.4 kg (11.9 lbs),0.5 m (1′08″),Grass,Poison,/ability/chlorophyll,Boosts the Pokémon's Speed in sunshine.,https://pokemondb.net/ability/chlorophyll,#0044,Gloom,https://pokemondb.net/pokedex/gloom,,,
0044,https://pokemondb.net/pokedex/gloom,Gloom,8.6 kg (19.0 lbs),0.8 m (2′07″),Grass,Poison,/ability/chlorophyll,Boosts the Pokémon's Speed in sunshine.,https://pokemondb.net/ability/chlorophyll,#0044,Gloom,https://pokemondb.net/pokedex/gloom,,,
0045,https://pokemondb.net/pokedex/vileplume,Vileplume,18.6 kg (41.0 lbs),1.2 m (3′11″),Grass,Poison,/ability/chlorophyll,Boosts the Pokémon's Speed in sunshine.,https://pokemondb.net/ability/chlorophyll,#0044,Gloom,https://pokemondb.net/pokedex/gloom,,,
0046,https://pokemondb.net/pokedex/paras,Paras,5.4 kg (11.9 lbs),0.3 m (1′00″),Bug,Grass,/ability/effect-spore,Contact may poison or cause paralysis or sleep.,https://pokemondb.net/ability/effect-spore,#0047,Parasect,https://pokemondb.net/pokedex/parasect,,,
0047,https://pokemondb.net/pokedex/parasect,Parasect,29.5 kg (65.0 lbs),1.0 m (3′03″),Bug,Grass,/ability/effect-spore,Contact may poison or cause paralysis or sleep.,https://pokemondb.net/ability/effect-spore,#0047,Parasect,https://pokemondb.net/pokedex/parasect,,,
0048,https://pokemondb.net/pokedex/venonat,Venonat,30.0 kg (66.1 lbs),1.0 m (3′03″),Bug,Poison,/ability/compound-eyes,The Pokémon's accuracy is boosted.,https://pokemondb.net/ability/compound-eyes,#0049,Venomoth,https://pokemondb.net/pokedex/venomoth,,,
0049,https://pokemondb.net/pokedex/venomoth,Venomoth,12.5 kg (27.6 lbs),1.5 m (4′11″),Bug,Poison,/ability/shield-dust,Blocks the added effects of attacks taken.,https://pokemondb.net/ability/shield-dust,#0049,Venomoth,https://pokemondb.net/pokedex/venomoth,,,
0050,https://pokemondb.net/pokedex/diglett,Diglett,0.8 kg (1.8 lbs),0.2 m (0′08″),Ground,Steel,/ability/sand-veil,Boosts the Pokémon's evasion in a sandstorm.,https://pokemondb.net/ability/sand-veil,#0051,Dugtrio,https://pokemondb.net/pokedex/dugtrio,,,
0051,https://pokemondb.net/pokedex/dugtrio,Dugtrio,33.3 kg (73.4 lbs),0.7 m (2′04″),Ground,Steel,/ability/sand-veil,Boosts the Pokémon's evasion in a sandstorm.,https://pokemondb.net/ability/sand-veil,#0051,Dugtrio,https://pokemondb.net/pokedex/dugtrio,,,
0052,https://pokemondb.net/pokedex/meowth,Meowth,4.2 kg (9.3 lbs),0.4 m (1′04″),Normal,6,/ability/pickup,The Pokémon may pick up items.,https://pokemondb.net/ability/pickup,#0053,Persian,https://pokemondb.net/pokedex/persian,,,
0053,https://pokemondb.net/pokedex/persian,Persian,32.0 kg (70.5 lbs),1.0 m (3′03″),Normal,,/ability/limber,The Pokémon is protected from paralysis.,https://pokemondb.net/ability/limber,#0053,Persian,https://pokemondb.net/pokedex/persian,,,
0054,https://pokemondb.net/pokedex/psyduck,Psyduck,19.6 kg (43.2 lbs),0.8 m (2′07″),Water,,/ability/damp,Prevents the use of self-destructing moves.,https://pokemondb.net/ability/damp,#0055,Golduck,https://pokemondb.net/pokedex/golduck,,,
0055,https://pokemondb.net/pokedex/golduck,Golduck,76.6 kg (168.9 lbs),1.7 m (5′07″),Water,,/ability/damp,Prevents the use of self-destructing moves.,https://pokemondb.net/ability/damp,#0055,Golduck,https://pokemondb.net/pokedex/golduck,,,
0056,https://pokemondb.net/pokedex/mankey,Mankey,28.0 kg (61.7 lbs),0.5 m (1′08″),Fighting,,/ability/vital-spirit,Prevents the Pokémon from falling asleep.,https://pokemondb.net/ability/vital-spirit,#0057,Primeape,https://pokemondb.net/pokedex/primeape,#0979,Annihilape,https://pokemondb.net/pokedex/annihilape
0057,https://pokemondb.net/pokedex/primeape,Primeape,32.0 kg (70.5 lbs),1.0 m (3′03″),Fighting,,/ability/vital-spirit,Prevents the Pokémon from falling asleep.,https://pokemondb.net/ability/vital-spirit,#0057,Primeape,https://pokemondb.net/pokedex/primeape,#0979,Annihilape,https://pokemondb.net/pokedex/annihilape
0058,https://pokemondb.net/pokedex/growlithe,Growlithe,19.0 kg (41.9 lbs),0.7 m (2′04″),Fire,Rock,/ability/intimidate,Lowers the foe's Attack stat.,https://pokemondb.net/ability/intimidate,#0059,Arcanine,https://pokemondb.net/pokedex/arcanine,,,
0059,https://pokemondb.net/pokedex/arcanine,Arcanine,155.0 kg (341.7 lbs),1.9 m (6′03″),Fire,Rock,/ability/intimidate,Lowers the foe's Attack stat.,https://pokemondb.net/ability/intimidate,#0059,Arcanine,https://pokemondb.net/pokedex/arcanine,,,
0060,https://pokemondb.net/pokedex/poliwag,Poliwag,12.4 kg (27.3 lbs),0.6 m (2′00″),Water,22,/ability/water-absorb,Restores HP if hit by a Water-type move.,https://pokemondb.net/ability/water-absorb,#0061,Poliwhirl,https://pokemondb.net/pokedex/poliwhirl,,,
0061,https://pokemondb.net/pokedex/poliwhirl,Poliwhirl,20.0 kg (44.1 lbs),1.0 m (3′03″),Water,23,/ability/water-absorb,Restores HP if hit by a Water-type move.,https://pokemondb.net/ability/water-absorb,#0061,Poliwhirl,https://pokemondb.net/pokedex/poliwhirl,,,
0062,https://pokemondb.net/pokedex/poliwrath,Poliwrath,54.0 kg (119.0 lbs),1.3 m (4′03″),Water,Fighting,/ability/water-absorb,Restores HP if hit by a Water-type move.,https://pokemondb.net/ability/water-absorb,#0061,Poliwhirl,https://pokemondb.net/pokedex/poliwhirl,,,
0063,https://pokemondb.net/pokedex/abra,Abra,19.5 kg (43.0 lbs),0.9 m (2′11″),Psychic,6,/ability/synchronize,"Passes a burn, poison, or paralysis to the foe.",https://pokemondb.net/ability/synchronize,#0064,Kadabra,https://pokemondb.net/pokedex/kadabra,#0065,Alakazam,https://pokemondb.net/pokedex/alakazam
0064,https://pokemondb.net/pokedex/kadabra,Kadabra,56.5 kg (124.6 lbs),1.3 m (4′03″),Psychic,,/ability/synchronize,"Passes a burn, poison, or paralysis to the foe.",https://pokemondb.net/ability/synchronize,#0064,Kadabra,https://pokemondb.net/pokedex/kadabra,#0065,Alakazam,https://pokemondb.net/pokedex/alakazam
0065,https://pokemondb.net/pokedex/alakazam,Alakazam,48.0 kg (105.8 lbs),1.5 m (4′11″),Psychic,,/ability/synchronize,"Passes a burn, poison, or paralysis to the foe.",https://pokemondb.net/ability/synchronize,#0064,Kadabra,https://pokemondb.net/pokedex/kadabra,#0065,Alakazam,https://pokemondb.net/pokedex/alakazam
0066,https://pokemondb.net/pokedex/machop,Machop,19.5 kg (43.0 lbs),0.8 m (2′07″),Fighting,Rock Tunnel,/ability/guts,Boosts Attack if there is a status problem.,https://pokemondb.net/ability/guts,#0067,Machoke,https://pokemondb.net/pokedex/machoke,#0068,Machamp,https://pokemondb.net/pokedex/machamp
0067,https://pokemondb.net/pokedex/machoke,Machoke,70.5 kg (155.4 lbs),1.5 m (4′11″),Fighting,Underground Path 5-6,/ability/guts,Boosts Attack if there is a status problem.,https://pokemondb.net/ability/guts,#0067,Machoke,https://pokemondb.net/pokedex/machoke,#0068,Machamp,https://pokemondb.net/pokedex/machamp
0068,https://pokemondb.net/pokedex/machamp,Machamp,130.0 kg (286.6 lbs),1.6 m (5′03″),Fighting,,/ability/guts,Boosts Attack if there is a status problem.,https://pokemondb.net/ability/guts,#0067,Machoke,https://pokemondb.net/pokedex/machoke,#0068,Machamp,https://pokemondb.net/pokedex/machamp
0069,https://pokemondb.net/pokedex/bellsprout,Bellsprout,4.0 kg (8.8 lbs),0.7 m (2′04″),Grass,Poison,/ability/chlorophyll,Boosts the Pokémon's Speed in sunshine.,https://pokemondb.net/ability/chlorophyll,#0070,Weepinbell,https://pokemondb.net/pokedex/weepinbell,#0071,Victreebel,https://pokemondb.net/pokedex/victreebel
0070,https://pokemondb.net/pokedex/weepinbell,Weepinbell,6.4 kg (14.1 lbs),1.0 m (3′03″),Grass,Poison,/ability/chlorophyll,Boosts the Pokémon's Speed in sunshine.,https://pokemondb.net/ability/chlorophyll,#0070,Weepinbell,https://pokemondb.net/pokedex/weepinbell,#0071,Victreebel,https://pokemondb.net/pokedex/victreebel
0071,https://pokemondb.net/pokedex/victreebel,Victreebel,15.5 kg (34.2 lbs),1.7 m (5′07″),Grass,Poison,/ability/chlorophyll,Boosts the Pokémon's Speed in sunshine.,https://pokemondb.net/ability/chlorophyll,#0070,Weepinbell,https://pokemondb.net/pokedex/weepinbell,#0071,Victreebel,https://pokemondb.net/pokedex/victreebel
0072,https://pokemondb.net/pokedex/tentacool,Tentacool,45.5 kg (100.3 lbs),0.9 m (2′11″),Water,Poison,/ability/clear-body,Prevents other Pokémon from lowering its stats.,https://pokemondb.net/ability/clear-body,#0073,Tentacruel,https://pokemondb.net/pokedex/tentacruel,,,
0073,https://pokemondb.net/pokedex/tentacruel,Tentacruel,55.0 kg (121.3 lbs),1.6 m (5′03″),Water,Poison,/ability/clear-body,Prevents other Pokémon from lowering its stats.,https://pokemondb.net/ability/clear-body,#0073,Tentacruel,https://pokemondb.net/pokedex/tentacruel,,,
0074,https://pokemondb.net/pokedex/geodude,Geodude,20.0 kg (44.1 lbs),0.4 m (1′04″),Rock,Ground,/ability/rock-head,Protects the Pokémon from recoil damage.,https://pokemondb.net/ability/rock-head,#0075,Graveler,https://pokemondb.net/pokedex/graveler,#0076,Golem,https://pokemondb.net/pokedex/golem
0075,https://pokemondb.net/pokedex/graveler,Graveler,105.0 kg (231.5 lbs),1.0 m (3′03″),Rock,Ground,/ability/rock-head,Protects the Pokémon from recoil damage.,https://pokemondb.net/ability/rock-head,#0075,Graveler,https://pokemondb.net/pokedex/graveler,#0076,Golem,https://pokemondb.net/pokedex/golem
0076,https://pokemondb.net/pokedex/golem,Golem,300.0 kg (661.4 lbs),1.4 m (4′07″),Rock,Ground,/ability/rock-head,Protects the Pokémon from recoil damage.,https://pokemondb.net/ability/rock-head,#0075,Graveler,https://pokemondb.net/pokedex/graveler,#0076,Golem,https://pokemondb.net/pokedex/golem
0077,https://pokemondb.net/pokedex/ponyta,Ponyta,30.0 kg (66.1 lbs),1.0 m (3′03″),Fire,,/ability/run-away,Enables a sure getaway from wild Pokémon.,https://pokemondb.net/ability/run-away,#0078,Rapidash,https://pokemondb.net/pokedex/rapidash,,,
0078,https://pokemondb.net/pokedex/rapidash,Rapidash,95.0 kg (209.4 lbs),1.7 m (5′07″),Fire,Fairy,/ability/run-away,Enables a sure getaway from wild Pokémon.,https://pokemondb.net/ability/run-away,#0078,Rapidash,https://pokemondb.net/pokedex/rapidash,,,
0079,https://pokemondb.net/pokedex/slowpoke,Slowpoke,36.0 kg (79.4 lbs),1.2 m (3′11″),Water,Psychic,/ability/oblivious,Prevents it from becoming infatuated.,https://pokemondb.net/ability/oblivious,,,,,,
0080,https://pokemondb.net/pokedex/slowbro,Slowbro,78.5 kg (173.1 lbs),1.6 m (5′03″),Water,Psychic,/ability/oblivious,Prevents it from becoming infatuated.,https://pokemondb.net/ability/oblivious,,,,,,
0081,https://pokemondb.net/pokedex/magnemite,Magnemite,6.0 kg (13.2 lbs),0.3 m (1′00″),Electric,Steel,/ability/magnet-pull,Prevents Steel-type Pokémon from escaping.,https://pokemondb.net/ability/magnet-pull,#0082,Magneton,https://pokemondb.net/pokedex/magneton,#0462,Magnezone,https://pokemondb.net/pokedex/magnezone
0082,https://pokemondb.net/pokedex/magneton,Magneton,60.0 kg (132.3 lbs),1.0 m (3′03″),Electric,Steel,/ability/magnet-pull,Prevents Steel-type Pokémon from escaping.,https://pokemondb.net/ability/magnet-pull,#0082,Magneton,https://pokemondb.net/pokedex/magneton,#0462,Magnezone,https://pokemondb.net/pokedex/magnezone
0083,https://pokemondb.net/pokedex/farfetchd,Farfetch'd,15.0 kg (33.1 lbs),0.8 m (2′07″),Normal,Flying,/ability/keen-eye,Prevents other Pokémon from lowering accuracy.,https://pokemondb.net/ability/keen-eye,#0865,Sirfetch'd,https://pokemondb.net/pokedex/sirfetchd,,,
0084,https://pokemondb.net/pokedex/doduo,Doduo,39.2 kg (86.4 lbs),1.4 m (4′07″),Normal,Flying,/ability/run-away,Enables a sure getaway from wild Pokémon.,https://pokemondb.net/ability/run-away,#0085,Dodrio,https://pokemondb.net/pokedex/dodrio,,,
0085,https://pokemondb.net/pokedex/dodrio,Dodrio,85.2 kg (187.8 lbs),1.8 m (5′11″),Normal,Flying,/ability/run-away,Enables a sure getaway from wild Pokémon.,https://pokemondb.net/ability/run-away,#0085,Dodrio,https://pokemondb.net/pokedex/dodrio,,,
0086,https://pokemondb.net/pokedex/seel,Seel,90.0 kg (198.4 lbs),1.1 m (3′07″),Water,,/ability/thick-fat,Ups resistance to Fire- and Ice-type moves.,https://pokemondb.net/ability/thick-fat,#0087,Dewgong,https://pokemondb.net/pokedex/dewgong,,,
0087,https://pokemondb.net/pokedex/dewgong,Dewgong,120.0 kg (264.6 lbs),1.7 m (5′07″),Water,Ice,/ability/thick-fat,Ups resistance to Fire- and Ice-type moves.,https://pokemondb.net/ability/thick-fat,#0087,Dewgong,https://pokemondb.net/pokedex/dewgong,,,
0088,https://pokemondb.net/pokedex/grimer,Grimer,30.0 kg (66.1 lbs),0.9 m (2′11″),Poison,Dark,/ability/stench,The stench may cause the target to flinch.,https://pokemondb.net/ability/stench,#0089,Muk,https://pokemondb.net/pokedex/muk,,,
0089,https://pokemondb.net/pokedex/muk,Muk,30.0 kg (66.1 lbs),1.2 m (3′11″),Poison,Dark,/ability/stench,The stench may cause the target to flinch.,https://pokemondb.net/ability/stench,#0089,Muk,https://pokemondb.net/pokedex/muk,,,
